track_name,artist(s)_name,artist_count,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,key,release_date
Dandelions,"RUTH B",1,3423,21,1116995633,41,100,59,1,32,C#,2017-04-28
"Danger (Spider) (Offset  JID)","OFFSET, JID",2,214,0,24975653,3,3,6,0,0,B,2023-06-02
DANA,"MC PEDRINHO, PEDRO SAMPAIO",2,911,2,208166039,45,0,99,1,1,A,2022-02-01
"Danza Kuduro","DON OMAR, LUCENZO",2,17138,37,1279434863,119,81,974,1,503,NULL,2010-01-01
DARARI,TREASURE,1,328,0,182978249,10,21,7,0,9,NULL,2022-02-15
"Dark Red","STEVE LACY",1,10431,7,920045682,71,53,181,0,10,F#,2017-02-20
"Dawn FM","THE WEEKND",1,811,0,53933526,1,8,6,0,0,A,2022-01-07
Daydreaming,"HARRY STYLES",1,1900,1,187703102,15,1,23,0,0,E,2022-05-20
Daylight,"HARRY STYLES",1,2775,0,290833204,21,11,40,0,0,NULL,2022-05-20
"Deck The Hall  Remastered 1999","NAT KING COLE",1,3299,0,127027715,65,39,41,0,0,F#,1959-01-01
"deja vu","OLIVIA RODRIGO",1,7545,4,1256880657,117,39,141,0,46,A,2021-04-01
"Demasiadas Mujeres","C TANGANA",1,2226,0,339473453,36,2,11,0,14,A,2020-10-08
Desesperados,"CHENCHO CORLEONE, RAUW ALEJANDRO",2,6821,34,809306935,83,58,128,7,0,C#,2021-06-25
DESPECH,ROSAL,1,7613,33,782369383,180,90,422,15,55,G,2022-07-28
"Despus de la P","BAD BUNNY",1,2229,0,461558540,27,44,24,0,5,F,2022-05-06
"Devil Don","MORGAN WALLEN",1,166,0,32526947,2,10,0,0,0,NULL,2023-03-03
"Di Que Si","GRUPO MARCA REGISTRADA, GRUPO FRONTERA",2,356,10,147290338,4,64,4,2,37,A,2023-02-03
"die first","NESSA BARRETT",1,767,0,131746175,25,0,22,0,0,G#,2022-06-24
"Die For You",JOJI,1,1703,0,246390068,38,45,36,16,0,G#,2022-11-04
"Die For You","THE WEEKND",1,2483,59,1647990401,68,21,24,0,259,C#,2016-11-24
"Die For You  Remix","ARIANA GRANDE, THE WEEKND",2,3408,47,518745108,87,86,74,1,16,C#,2023-02-24
"Die Hard","KENDRICK LAMAR, BLXST, AMANDA REIFER",3,4627,0,237351106,38,13,32,0,0,C#,2022-05-13
"Die Young (feat 347aidan)","SLEEPY HALLOW, 347AIDAN",2,896,0,160845341,19,0,15,0,0,B,2022-05-25
"Dijeron Que No La Iba Lograr","FUERZA REGIDA, CHINO PACAS",2,320,6,116334601,5,48,2,1,9,G,2023-03-14
